change_id,user_id,changed_by,date,new_level
1,10,Danil,2026-12-20,admin
2,55,Danil,2026-11-24,high
3,86,Turbo,2025-04-03,high
4,7,Danil,2025-08-28,medium
5,40,Lexa,2026-05-12,medium
6,47,Artur,2026-12-14,admin
7,57,Artur,2025-12-13,medium
8,60,Anya,2026-07-20,high
9,37,Bulat,2025-08-01,high
10,3,Artem,2026-05-09,admin
11,61,Lexa,2025-12-20,admin
12,86,Tanya,2025-04-03,medium
13,11,Turik,2026-02-24,admin
14,19,Bulat,2026-04-06,admin
15,24,Danil,2025-05-31,medium
16,1,Lexa,2025-09-01,medium
17,50,Artem,2026-10-24,low
18,41,Artem,2026-01-07,admin
19,68,Artem,2026-12-12,high
20,97,Turik,2026-08-22,low
21,30,Turik,2026-11-05,medium
22,61,Sasha,2026-09-12,medium
23,82,Danil,2025-11-26,low
24,21,Artem,2025-10-05,admin
25,28,Lexa,2026-07-11,admin
26,69,Danil,2026-05-25,admin
27,99,Anya,2025-03-05,admin
28,82,Artem,2026-09-06,medium
29,49,Bulat,2025-06-13,medium
30,73,Artur,2025-12-19,medium
31,10,Turik,2026-10-24,admin
32,39,Tanya,2025-04-12,admin
33,84,Artur,2025-10-17,high
34,40,Artur,2026-12-17,medium
35,64,Artem,2026-03-06,medium
36,31,Tanya,2025-10-28,admin
37,82,Sasha,2026-05-19,admin
38,55,Danil,2025-06-15,medium
39,61,Turbo,2025-07-13,medium
40,80,Sasha,2026-02-21,admin
41,2,Turik,2025-03-26,high
42,86,Lexa,2025-09-24,low
43,77,Bulat,2026-03-26,admin
44,53,Anya,2026-10-24,high
45,79,Artur,2026-12-29,medium
46,11,Sasha,2025-04-18,high
47,6,Sasha,2026-05-22,low
48,64,Tanya,2026-04-15,high
49,53,Bulat,2025-02-18,high
50,26,Artem,2025-10-08,medium
51,61,Tanya,2025-02-06,medium
52,16,Tanya,2025-09-19,medium
53,78,Bulat,2025-12-09,high
54,37,Lexa,2026-05-18,high
55,54,Turbo,2025-01-18,admin
56,88,Anya,2025-08-19,medium
57,66,Sasha,2025-05-16,high
58,17,Sasha,2025-05-13,medium
59,22,Turbo,2025-07-20,admin
60,6,Tanya,2026-09-17,medium
61,4,Bulat,2026-11-01,admin
62,85,Turbo,2026-06-25,low
63,34,Artem,2025-03-28,medium
64,38,Turbo,2026-10-05,admin
65,23,Tanya,2026-10-18,low
66,97,Anya,2026-12-06,medium
67,5,Danil,2026-08-09,admin
68,53,Danil,2025-10-25,admin
69,45,Tanya,2026-05-27,high
70,62,Bulat,2025-09-26,low
71,20,Bulat,2026-08-12,low
72,84,Turbo,2025-04-09,low
73,74,Turbo,2026-10-24,high
74,10,Turik,2026-04-28,medium
75,14,Sasha,2026-09-05,low
76,62,Artem,2026-09-24,low
77,33,Turik,2025-03-07,high
78,98,Artem,2026-10-13,admin
79,19,Artur,2026-04-29,admin
80,9,Tanya,2025-11-19,high
81,34,Turik,2026-09-25,admin
82,47,Danil,2026-12-20,low
83,50,Turbo,2025-07-29,admin
84,59,Danil,2026-03-16,medium
85,77,Turbo,2026-11-25,high
86,26,Bulat,2026-11-06,high
87,10,Tanya,2025-10-05,medium
88,54,Turik,2026-03-14,admin
89,30,Artur,2026-08-15,high
90,37,Turik,2025-04-20,medium
91,76,Tanya,2026-09-13,low
92,73,Tanya,2025-11-29,medium
93,27,Artem,2025-11-16,admin
94,78,Turbo,2026-09-19,medium
95,19,Sasha,2025-12-27,medium
96,68,Bulat,2026-02-07,admin
97,53,Lexa,2026-09-16,admin
98,16,Tanya,2025-04-11,medium
99,16,Turik,2025-05-16,low
100,22,Artem,2026-11-28,low
101,30,Anya,2026-02-27,admin
102,91,Artem,2025-12-07,high
103,72,Artur,2026-07-17,low
104,61,Turik,2026-04-01,medium
105,48,Bulat,2026-04-04,low
106,40,Danil,2025-01-06,medium
107,70,Lexa,2026-10-24,admin
108,92,Lexa,2025-11-19,medium
109,7,Anya,2026-08-12,medium
110,8,Tanya,2026-05-10,low
111,84,Bulat,2025-11-06,medium
112,54,Danil,2025-10-14,admin
113,41,Artur,2025-01-28,high
114,78,Bulat,2026-08-20,high
115,44,Bulat,2025-05-14,medium
116,53,Artur,2026-11-02,low
117,21,Artur,2026-06-13,high
118,90,Artem,2026-05-08,medium
119,6,Turbo,2026-04-07,admin
120,13,Lexa,2025-01-07,high
121,32,Sasha,2025-03-31,high
122,61,Danil,2025-03-18,high
123,77,Tanya,2026-06-22,admin
124,13,Sasha,2025-03-31,high
125,95,Artem,2026-08-24,medium
126,21,Bulat,2025-02-03,admin
127,17,Artem,2026-10-01,high
128,32,Turik,2026-07-10,admin
129,33,Tanya,2026-12-08,medium
130,72,Sasha,2025-10-28,low
131,55,Sasha,2026-11-16,high
132,54,Turik,2025-07-06,high
133,88,Artem,2025-02-08,low
134,47,Sasha,2026-07-29,low
135,89,Turik,2025-03-31,low
136,38,Anya,2025-09-25,high
137,34,Bulat,2026-11-27,admin
138,73,Sasha,2026-11-23,medium
139,7,Danil,2025-07-10,high
140,71,Artur,2026-06-11,medium
141,70,Sasha,2026-06-07,high
142,62,Turik,2026-10-04,medium
143,23,Bulat,2025-04-27,medium
144,16,Bulat,2026-06-22,high
145,65,Danil,2026-03-03,medium
146,10,Tanya,2026-08-19,low
147,34,Sasha,2026-01-15,high
148,15,Lexa,2025-10-19,admin
149,63,Artur,2026-04-10,admin
150,13,Lexa,2025-06-12,low
151,79,Artem,2025-12-03,high
152,95,Anya,2025-04-17,admin
153,34,Turik,2026-09-04,low
154,80,Lexa,2025-06-11,low
155,18,Lexa,2025-09-16,low
156,16,Anya,2025-11-19,medium
157,25,Bulat,2025-02-18,admin
158,91,Tanya,2026-02-25,high
159,66,Sasha,2026-11-01,medium
160,77,Bulat,2026-10-13,medium
161,12,Turbo,2026-07-07,admin
162,45,Turbo,2026-08-11,admin
163,89,Turbo,2026-07-07,admin
164,48,Bulat,2025-07-10,admin
165,66,Sasha,2025-09-19,admin
166,23,Artem,2026-08-27,medium
167,78,Artem,2026-04-12,low
168,29,Artur,2026-02-14,medium
169,15,Tanya,2026-08-01,low
170,78,Tanya,2025-11-11,medium
171,31,Bulat,2025-01-05,low
172,2,Turik,2025-04-26,admin
173,16,Turik,2026-06-16,medium
174,41,Anya,2025-07-01,high
175,7,Danil,2025-07-18,admin
176,70,Artur,2025-09-26,low
177,94,Bulat,2025-08-02,low
178,22,Artur,2026-03-18,low
179,78,Turbo,2026-04-24,medium
180,62,Danil,2025-03-25,high
181,57,Anya,2025-01-30,admin
182,29,Danil,2025-04-14,admin
183,88,Danil,2025-08-06,admin
184,34,Tanya,2025-12-17,medium
185,4,Artur,2025-07-31,high
186,53,Turbo,2025-04-10,high
187,57,Turik,2025-08-03,low
188,8,Danil,2025-11-30,medium
189,94,Bulat,2026-03-10,high
190,54,Artur,2026-01-13,admin
191,6,Turik,2025-03-06,high
192,7,Tanya,2025-10-14,high
193,89,Artem,2025-08-03,admin
194,94,Artur,2026-05-25,high
195,72,Turbo,2025-08-02,medium
196,10,Artur,2025-02-04,medium
197,41,Artem,2025-07-09,low
198,47,Bulat,2026-03-20,low
199,76,Danil,2026-04-25,admin
200,14,Tanya,2026-10-25,high
