log_id,user_id,date,time,status
1,40,2026-08-25,06:48:41,success
2,4,2026-07-21,13:33:59,success
3,1,2025-02-04,13:40:15,failure
4,36,2025-08-27,15:32:26,failure
5,85,2026-11-07,15:38:58,success
6,14,2026-12-09,08:27:13,success
7,52,2025-10-26,20:19:31,success
8,5,2025-05-28,06:36:37,success
9,58,2025-12-17,02:25:47,failure
10,56,2026-04-22,13:25:50,success
11,81,2025-11-20,21:49:18,success
12,99,2026-03-28,09:17:38,failure
13,25,2026-11-11,16:32:58,success
14,38,2025-08-17,06:40:03,failure
15,28,2025-10-07,11:54:40,success
16,11,2025-06-20,22:03:07,success
17,84,2026-03-26,14:43:13,failure
18,53,2026-06-27,17:50:01,failure
19,14,2025-09-06,01:03:26,success
20,27,2026-03-01,07:44:07,success
21,78,2025-01-06,22:47:32,failure
22,87,2026-06-08,07:02:28,failure
23,39,2026-10-19,10:19:28,failure
24,7,2026-12-27,20:11:32,failure
25,14,2026-04-19,06:26:57,failure
26,26,2026-09-17,15:38:31,success
27,61,2026-01-04,17:26:58,failure
28,92,2026-10-13,15:20:44,failure
29,87,2026-06-18,15:17:29,success
30,40,2026-11-03,23:30:29,success
31,53,2026-01-25,00:00:24,failure
32,94,2025-03-01,05:25:25,failure
33,8,2026-09-02,03:16:59,success
34,28,2026-09-28,08:45:11,failure
35,54,2026-09-25,21:57:01,success
36,4,2025-06-05,21:44:14,failure
37,69,2025-02-10,15:37:15,failure
38,88,2026-06-21,21:15:33,failure
39,61,2025-01-16,03:52:02,success
40,91,2025-01-05,10:19:11,success
41,55,2025-02-01,23:29:41,success
42,64,2026-02-15,21:15:18,failure
43,16,2025-10-28,12:39:19,failure
44,57,2026-07-11,15:56:28,failure
45,75,2026-06-04,03:30:57,failure
46,66,2025-03-08,08:26:34,failure
47,42,2025-05-02,04:04:48,success
48,7,2025-07-05,04:41:55,failure
49,41,2026-05-06,10:13:03,success
50,53,2025-03-06,17:54:22,failure
51,11,2026-10-12,12:33:33,failure
52,10,2025-09-09,19:46:28,success
53,68,2026-12-11,05:32:21,failure
54,58,2025-06-13,07:21:13,success
55,85,2026-01-28,17:23:13,success
56,48,2026-08-05,02:24:26,success
57,59,2025-07-10,19:26:40,success
58,19,2026-09-14,03:23:24,failure
59,43,2026-06-07,13:42:27,success
60,95,2026-08-22,15:03:04,failure
61,50,2026-02-12,20:35:55,success
62,44,2026-05-27,04:49:37,success
63,17,2026-03-10,05:44:22,success
64,90,2026-03-22,12:38:15,failure
65,28,2026-11-17,02:03:05,success
66,20,2025-10-12,18:57:14,failure
67,94,2026-01-01,06:08:59,success
68,9,2026-03-15,11:07:05,success
69,81,2026-02-05,21:33:21,success
70,73,2025-11-20,17:47:21,failure
71,95,2025-09-20,03:34:08,success
72,41,2026-10-24,05:29:05,failure
73,49,2026-08-29,09:20:52,failure
74,37,2025-10-14,10:36:05,success
75,63,2025-11-21,01:13:23,failure
76,35,2026-04-09,20:00:10,failure
77,26,2025-03-18,09:47:14,failure
78,78,2025-05-08,04:12:12,success
79,44,2025-06-23,07:18:09,failure
80,7,2026-01-29,09:33:24,failure
81,34,2025-06-03,23:23:22,failure
82,3,2026-06-08,08:06:19,failure
83,82,2025-09-21,04:17:22,success
84,82,2026-09-03,14:37:22,success
